movieId,movie_encoded,genres,year,clean_title
1,0,Adventure|Animation|Children|Comedy|Fantasy,1995,Toy Story
2,1,Adventure|Children|Fantasy,1995,Jumanji
3,2,Comedy|Romance,1995,Grumpier Old Men
5,3,Comedy,1995,Father of the Bride Part II
6,4,Action|Crime|Thriller,1995,Heat
7,5,Comedy|Romance,1995,Sabrina
9,6,Action,1995,Sudden Death
10,7,Action|Adventure|Thriller,1995,GoldenEye
11,8,Comedy|Drama|Romance,1995,"American President, The"
12,9,Comedy|Horror,1995,Dracula: Dead and Loving It
14,10,Drama,1995,Nixon
15,11,Action|Adventure|Romance,1995,Cutthroat Island
16,12,Crime|Drama,1995,Casino
17,13,Drama|Romance,1995,Sense and Sensibility
18,14,Comedy,1995,Four Rooms
19,15,Comedy,1995,Ace Ventura: When Nature Calls
20,16,Action|Comedy|Crime|Drama|Thriller,1995,Money Train
21,17,Comedy|Crime|Thriller,1995,Get Shorty
22,18,Crime|Drama|Horror|Mystery|Thriller,1995,Copycat
23,19,Action|Crime|Thriller,1995,Assassins
24,20,Drama|Sci-Fi,1995,Powder
25,21,Drama|Romance,1995,Leaving Las Vegas
26,22,Drama,1995,Othello
28,23,Drama|Romance,1995,Persuasion
29,24,Adventure|Drama|Fantasy|Mystery|Sci-Fi,1995,"City of Lost Children, The (Cité des enfants perdus, La)"
31,25,Drama,1995,Dangerous Minds
32,26,Mystery|Sci-Fi|Thriller,1995,Twelve Monkeys (a.k.a. 12 Monkeys)
34,27,Children|Drama,1995,Babe
36,28,Crime|Drama,1995,Dead Man Walking
39,29,Comedy|Romance,1995,Clueless
41,30,Drama|War,1995,Richard III
44,31,Action|Adventure|Fantasy,1995,Mortal Kombat
45,32,Comedy|Drama|Thriller,1995,To Die For
46,33,Drama|Romance,1995,How to Make an American Quilt
47,34,Mystery|Thriller,1995,Seven (a.k.a. Se7en)
48,35,Animation|Children|Drama|Musical|Romance,1995,Pocahontas
50,36,Crime|Mystery|Thriller,1995,"Usual Suspects, The"
52,37,Comedy|Drama|Romance,1995,Mighty Aphrodite
58,38,Comedy|Drama|Romance,1994,"Postman, The (Postino, Il)"
60,39,Adventure|Children|Fantasy,1995,"Indian in the Cupboard, The"
62,40,Drama,1995,Mr. Holland's Opus
65,41,Comedy,1996,Bio-Dome
69,42,Comedy,1995,Friday
70,43,Action|Comedy|Horror|Thriller,1996,From Dusk Till Dawn
73,44,Drama|War,1995,"Misérables, Les"
76,45,Action|Sci-Fi|Thriller,1995,Screamers
79,46,Drama|Thriller,1996,"Juror, The"
81,47,Crime|Drama|Romance,1995,Things to Do in Denver When You're Dead
86,48,Action|Adventure|Drama,1996,White Squall
88,49,Comedy,1996,Black Sheep
89,50,Action|Thriller,1995,Nick of Time
94,51,Comedy|Drama|Romance,1996,Beautiful Girls
95,52,Action|Adventure|Thriller,1996,Broken Arrow
97,53,Crime|Drama,1995,"Hate (Haine, La)"
100,54,Drama|Thriller,1996,City Hall
101,55,Adventure|Comedy|Crime|Romance,1996,Bottle Rocket
104,56,Comedy,1996,Happy Gilmore
105,57,Drama|Romance,1995,"Bridges of Madison County, The"
107,58,Adventure|Children|Comedy|Musical,1996,Muppet Treasure Island
110,59,Action|Drama|War,1995,Braveheart
111,60,Crime|Drama|Thriller,1976,Taxi Driver
112,61,Action|Adventure|Comedy|Crime,1995,Rumble in the Bronx (Hont faan kui)
122,62,Comedy|Romance,1992,Boomerang
125,63,Comedy,1996,Flirting With Disaster
135,64,Comedy,1996,Down Periscope
140,65,Drama|Romance,1996,Up Close and Personal
141,66,Comedy,1996,"Birdcage, The"
144,67,Comedy,1995,"Brothers McMullen, The"
145,68,Action|Comedy|Crime|Drama|Thriller,1995,Bad Boys
147,69,Drama,1995,"Basketball Diaries, The"
150,70,Adventure|Drama|IMAX,1995,Apollo 13
151,71,Action|Drama|Romance|War,1995,Rob Roy
153,72,Action|Adventure|Comedy|Crime,1995,Batman Forever
154,73,Drama,1967,Beauty of the Day (Belle de jour)
157,74,Comedy|War,1995,Canadian Bacon
158,75,Adventure|Children,1995,Casper
159,76,Crime|Drama|Mystery,1995,Clockers
160,77,Action|Adventure|Mystery|Sci-Fi,1995,Congo
161,78,Drama|Thriller|War,1995,Crimson Tide
162,79,Documentary,1994,Crumb
163,80,Action|Romance|Western,1995,Desperado
164,81,Crime|Film-Noir|Mystery|Thriller,1995,Devil in a Blue Dress
165,82,Action|Crime|Thriller,1995,Die Hard: With a Vengeance
168,83,Action|Drama|Romance,1995,First Knight
169,84,Adventure|Children|Drama,1995,Free Willy 2: The Adventure Home
170,85,Action|Adventure|Crime|Thriller,1995,Hackers
172,86,Action|Sci-Fi|Thriller,1995,Johnny Mnemonic
173,87,Action|Crime|Sci-Fi,1995,Judge Dredd
174,88,Comedy,1995,Jury Duty
175,89,Drama,1995,Kids
176,90,Comedy,1995,Living in Oblivion
180,91,Comedy|Romance,1995,Mallrats
181,92,Action|Children,1995,Mighty Morphin Power Rangers: The Movie
185,93,Action|Crime|Thriller,1995,"Net, The"
186,94,Comedy|Romance,1995,Nine Months
188,95,Fantasy|Horror|Mystery,1995,"Prophecy, The"
193,96,Drama,1995,Showgirls
194,97,Comedy|Drama,1995,Smoke
195,98,Comedy|Drama|Romance,1995,Something to Talk About
196,99,Horror|Sci-Fi,1995,Species
198,100,Action|Crime|Drama|Mystery|Sci-Fi|Thriller,1995,Strange Days
203,101,Comedy,1995,"To Wong Foo, Thanks for Everything! Julie Newmar"
204,102,Action,1995,Under Siege 2: Dark Territory
207,103,Drama|Romance,1995,"Walk in the Clouds, A"
208,104,Action|Adventure|Sci-Fi,1995,Waterworld
215,105,Drama|Romance,1995,Before Sunrise
216,106,Comedy,1995,Billy Madison
218,107,Comedy|Drama,1995,Boys on the Side
222,108,Drama|Romance,1995,Circle of Friends
223,109,Comedy,1994,Clerks
224,110,Comedy|Drama|Romance,1995,Don Juan DeMarco
225,111,Drama|Thriller,1994,Disclosure
227,112,Action|Thriller,1994,Drop Zone
230,113,Drama|Thriller,1995,Dolores Claiborne
231,114,Adventure|Comedy,1994,Dumb & Dumber (Dumb and Dumber)
232,115,Comedy|Drama|Romance,1994,Eat Drink Man Woman (Yin shi nan nu)
233,116,Drama,1994,Exotica
234,117,Comedy,1994,Exit to Eden
235,118,Comedy|Drama,1994,Ed Wood
236,119,Action|Comedy|Romance,1995,French Kiss
237,120,Comedy|Romance,1995,Forget Paris
239,121,Animation|Children|Comedy|Romance,1995,"Goofy Movie, A"
246,122,Documentary,1994,Hoop Dreams
247,123,Crime|Drama,1994,Heavenly Creatures
248,124,Comedy,1994,Houseguest
249,125,Drama|Romance,1994,Immortal Beloved
252,126,Comedy|Romance,1994,I.Q.
253,127,Drama|Horror,1994,Interview with the Vampire: The Vampire Chronicles
256,128,Comedy|Sci-Fi,1994,Junior
257,129,Mystery|Thriller,1995,Just Cause
258,130,Adventure|Children|Comedy|Fantasy|Romance,1995,"Kid in King Arthur's Court, A"
260,131,Action|Adventure|Sci-Fi,1977,Star Wars: Episode IV - A New Hope
261,132,Drama,1994,Little Women
262,133,Children|Drama,1995,"Little Princess, A"
265,134,Drama|Fantasy|Romance,1992,Like Water for Chocolate (Como agua para chocolate)
266,135,Drama|Romance|War|Western,1994,Legends of the Fall
267,136,Comedy,1995,Major Payne
272,137,Comedy|Drama,1994,"Madness of King George, The"
273,138,Drama|Horror|Sci-Fi,1994,Mary Shelley's Frankenstein (Frankenstein)
276,139,Comedy|Romance,1994,Milk Money
277,140,Drama,1994,Miracle on 34th Street
280,141,Drama|Thriller,1995,Murder in the First
281,142,Comedy|Drama|Romance,1994,Nobody's Fool
282,143,Drama,1994,Nell
288,144,Action|Crime|Thriller,1994,Natural Born Killers
290,145,Crime|Drama,1994,Once Were Warriors
292,146,Action|Drama|Sci-Fi|Thriller,1995,Outbreak
293,147,Action|Crime|Drama|Thriller,1994,Léon: The Professional (a.k.a. The Professional) (Léon)
296,148,Comedy|Crime|Drama|Thriller,1994,Pulp Fiction
300,149,Drama,1994,Quiz Show
303,150,Action|Thriller|Western,1995,"Quick and the Dead, The"
306,151,Drama,1994,Three Colors: Red (Trois couleurs: Rouge)
307,152,Drama,1993,Three Colors: Blue (Trois couleurs: Bleu)
308,153,Comedy|Drama,1994,Three Colors: White (Trzy kolory: Bialy)
314,154,Children|Drama|Fantasy|Mystery,1994,"Secret of Roan Inish, The"
315,155,Action|Drama|Thriller,1994,"Specialist, The"
316,156,Action|Adventure|Sci-Fi,1994,Stargate
317,157,Comedy|Drama|Fantasy,1994,"Santa Clause, The"
318,158,Crime|Drama,1994,"Shawshank Redemption, The"
319,159,Comedy|Drama|Thriller,1994,Shallow Grave
322,160,Comedy|Drama,1995,Swimming with Sharks
327,161,Action|Comedy|Sci-Fi,1995,Tank Girl
328,162,Horror|Thriller,1995,Tales from the Crypt Presents: Demon Knight
329,163,Adventure|Drama|Sci-Fi,1994,Star Trek: Generations
332,164,Horror|Sci-Fi,1995,Village of the Damned
333,165,Comedy,1995,Tommy Boy
337,166,Drama,1993,What's Eating Gilbert Grape
338,167,Action|Sci-Fi|Thriller,1995,Virtuosity
339,168,Comedy|Romance,1995,While You Were Sleeping
342,169,Comedy,1994,Muriel's Wedding
344,170,Comedy,1994,Ace Ventura: Pet Detective
345,171,Comedy|Drama,1994,"Adventures of Priscilla, Queen of the Desert, The"
348,172,Comedy,1994,Bullets Over Broadway
349,173,Action|Crime|Drama|Thriller,1994,Clear and Present Danger
350,174,Drama|Mystery|Thriller,1994,"Client, The"
351,175,Comedy|Drama|Romance,1994,"Corrina, Corrina"
353,176,Action|Crime|Fantasy|Thriller,1994,"Crow, The"
355,177,Children|Comedy|Fantasy,1994,"Flintstones, The"
356,178,Comedy|Drama|Romance|War,1994,Forrest Gump
357,179,Comedy|Romance,1994,Four Weddings and a Funeral
361,180,Comedy|Drama|Romance,1994,It Could Happen to You
362,181,Adventure|Children|Romance,1994,"Jungle Book, The"
364,182,Adventure|Animation|Children|Drama|Musical|IMAX,1994,"Lion King, The"
366,183,Drama|Horror|Mystery|Thriller,1994,"Wes Craven's New Nightmare (Nightmare on Elm Street Part 7: Freddy's Finale, A)"
367,184,Action|Comedy|Crime|Fantasy,1994,"Mask, The"
368,185,Adventure|Comedy|Western,1994,Maverick
370,186,Action|Comedy,1994,Naked Gun 33 1/3: The Final Insult
371,187,Comedy|Drama,1994,"Paper, The"
372,188,Comedy|Drama|Romance,1994,Reality Bites
373,189,Thriller,1992,Red Rock West
374,190,Children|Comedy,1994,Richie Rich
376,191,Action|Thriller,1994,"River Wild, The"
377,192,Action|Romance|Thriller,1994,Speed
379,193,Action|Sci-Fi|Thriller,1994,Timecop
380,194,Action|Adventure|Comedy|Romance|Thriller,1994,True Lies
381,195,Drama|Romance,1994,When a Man Loves a Woman
382,196,Drama|Horror|Romance|Thriller,1994,Wolf
383,197,Western,1994,Wyatt Earp
393,198,Action|Adventure|Fantasy,1994,Street Fighter
405,199,Action|Fantasy,1994,Highlander III: The Sorcerer (a.k.a. Highlander: The Final Dimension)
410,200,Children|Comedy|Fantasy,1993,Addams Family Values
412,201,Drama,1993,"Age of Innocence, The"
413,202,Comedy,1994,Airheads
415,203,Comedy|Thriller,1993,Another Stakeout
417,204,Comedy|Romance,1994,Barcelona
419,205,Comedy,1993,"Beverly Hillbillies, The"
420,206,Action|Comedy|Crime|Thriller,1994,Beverly Hills Cop III
421,207,Adventure|Children|Drama,1994,Black Beauty
423,208,Action|Thriller,1994,Blown Away
427,209,Drama|Mystery|Romance|Thriller,1993,Boxing Helena
428,210,Drama,1993,"Bronx Tale, A"
431,211,Crime|Drama,1993,Carlito's Way
432,212,Adventure|Comedy|Western,1994,City Slickers II: The Legend of Curly's Gold
434,213,Action|Adventure|Thriller,1993,Cliffhanger
435,214,Comedy|Sci-Fi,1993,Coneheads
440,215,Comedy|Romance,1993,Dave
441,216,Comedy,1993,Dazed and Confused
442,217,Action|Adventure|Sci-Fi,1993,Demolition Man
445,218,Comedy,1993,Fatal Instinct
454,219,Drama|Thriller,1993,"Firm, The"
455,220,Adventure|Children|Drama,1993,Free Willy
457,221,Thriller,1993,"Fugitive, The"
464,222,Action|Adventure|Crime|Thriller,1993,Hard Target
466,223,Action|Comedy|War,1993,Hot Shots! Part Deux
468,224,Comedy|Romance,1995,"Englishman Who Went Up a Hill But Came Down a Mountain, The"
471,225,Comedy,1994,"Hudsucker Proxy, The"
474,226,Action|Thriller,1993,In the Line of Fire
475,227,Drama,1993,In the Name of the Father
477,228,Drama|Musical,1993,What's Love Got to Do with It?
480,229,Action|Adventure|Sci-Fi|Thriller,1993,Jurassic Park
481,230,Drama|Thriller,1993,Kalifornia
485,231,Action|Adventure|Comedy|Fantasy,1993,Last Action Hero
489,232,Comedy,1993,Made in America
490,233,Thriller,1993,Malice
491,234,Drama,1993,"Man Without a Face, The"
492,235,Comedy|Mystery,1993,Manhattan Murder Mystery
493,236,Action|Crime|Drama,1993,Menace II Society
494,237,Action|Adventure|Thriller,1996,Executive Decision
497,238,Comedy|Romance,1993,Much Ado About Nothing
500,239,Comedy|Drama,1993,Mrs. Doubtfire
502,240,Action|Children|Romance,1994,"Next Karate Kid, The"
507,241,Crime|Drama|Thriller,1993,"Perfect World, A"
508,242,Drama,1993,Philadelphia
509,243,Drama|Romance,1993,"Piano, The"
514,244,Comedy,1994,"Ref, The"
515,245,Drama|Romance,1993,"Remains of the Day, The"
516,246,Comedy|Drama,1994,Renaissance Man
519,247,Action|Crime|Drama|Sci-Fi|Thriller,1993,RoboCop 3
520,248,Comedy,1993,Robin Hood: Men in Tights
524,249,Drama,1993,Rudy
527,250,Drama|War,1993,Schindler's List
529,251,Drama,1993,Searching for Bobby Fischer
531,252,Children|Drama,1993,"Secret Garden, The"
532,253,Comedy|Crime|Horror,1994,Serial Mom
533,254,Action|Adventure|Fantasy|Mystery,1994,"Shadow, The"
534,255,Drama|Romance,1993,Shadowlands
535,256,Drama,1993,Short Cuts
537,257,Drama,1994,Sirens
538,258,Drama,1993,Six Degrees of Separation
